"# total is calibrated WITHIN k (the normalisation caps are pair-fitted); compare rows by percentile_within_k, never a triple's total against a pair's. deduped_into names the better combination that makes the same claim with an interchangeable part; blank means this row is the family representative."
rank,k,ids,parts,usd,total,percentile_within_k,synergy,emergent_keys,new_route_keys,multiplicity_incidental_keys,shared_phenomena,shared_kinds,compensation_channels,compensation_source,compensation_doubtful,failure_independence,tau_decades,time_mode,tau_confidence,tau_lower_bound,novelty,esp32_verdict,boards_that_fit,family_signature,deduped_into,equivalent_swaps,reasoning,confound
469,2,S013|S280,BME280 climate combo|STCC4 low-cost percent CO2,24.0,0.41205,99.427,6.0,radon-risk-rising|window-open-state,,,,,S013>S280:humidity@1,prose,0,0.656,0.0,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S013+S279,S013|S279,,"BME280 climate combo + STCC4 low-cost percent CO2: BME280 climate combo measures `humidity-relative`, which is exactly what fools STCC4 low-cost percent CO2 (ambient humidity and condensation); together they reach `radon-risk-rising`, `window-open-state`, which no member reaches alone; their time constants differ by 0.0 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (ambient humidity and condensation), so agreement between them is NOT independent confirmation. Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — BME280 climate combo must sit in the same air/on the same surface as STCC4 low-cost percent CO2 or it is correcting a different place."
470,2,S001|S343,DS18B20 digital temp probe|Omron D6T-32L 1024-pixel thermopile array,202.5,0.412,99.425,1.0,,sky-clear,,,,S343>S001:sunlight-ir@1|S001>S343:self-heating@1,prose,0,0.6,1.176,separated,high,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S001+S343,,S002+S343|S003+S343,"DS18B20 digital temp probe + Omron D6T-32L 1024-pixel thermopile array: Omron D6T-32L 1024-pixel thermopile array measures `temperature-remote`, which is exactly what fools DS18B20 digital temp probe (sunlight and ambient infrared), plus 1 further correction channel(s); together they open a new route to `sky-clear`; their time constants differ by 1.2 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (self-heating of the sensor or its own board, sunlight and ambient infrared), so agreement between them is NOT independent confirmation. Sky thermometer cloud detector: Rain on the sensor window reads as total overcast; high thin cirrus reads half-way and fools the threshold. Angle it 10° off zenith with a rain shield. The correction is only as good as the co-location — Omron D6T-32L 1024-pixel thermopile array must sit in the same air/on the same surface as DS18B20 digital temp probe or it is correcting a different place."
471,2,S108|S292,Water level capacitive strip|Winsen ZE03-NH3 ammonia module,47.0,0.41167,99.423,0.0,,,,,,S292>S108:ethanol-voc@1|S108>S292:water-immersion@1,prose,0,0.875,2.079,separated,high,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S033+S108,S033|S108,,"Water level capacitive strip + Winsen ZE03-NH3 ammonia module: Winsen ZE03-NH3 ammonia module measures `gas-concentration`, which is exactly what fools Water level capacitive strip (ethanol, solvents and general vocs), plus 1 further correction channel(s); their time constants differ by 2.1 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (ambient humidity and condensation), so agreement between them is NOT independent confirmation. The correction is only as good as the co-location — Winsen ZE03-NH3 ammonia module must sit in the same air/on the same surface as Water level capacitive strip or it is correcting a different place."
472,2,S142|S329,Ultrasonic liquid (through-wall)|FLIR Lepton 3.1R radiometric thermal module,205.0,0.41167,99.423,0.0,,,,,,S329>S142:temperature-drift@1|S142>S329:target-geometry@1,prose,0,0.875,1.778,separated,high,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S140+S329,,S140+S329,"Ultrasonic liquid (through-wall) + FLIR Lepton 3.1R radiometric thermal module: FLIR Lepton 3.1R radiometric thermal module measures `temperature-remote`, which is exactly what fools Ultrasonic liquid (through-wall) (ambient temperature drift / temperature coefficient), plus 1 further correction channel(s); their time constants differ by 1.8 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (ambient temperature drift / temperature coefficient), so agreement between them is NOT independent confirmation. The correction is only as good as the co-location — FLIR Lepton 3.1R radiometric thermal module must sit in the same air/on the same surface as Ultrasonic liquid (through-wall) or it is correcting a different place."
473,2,S096|S313,Geophone SM-24|SW-520D ball tilt switch,30.5,0.41157,99.422,0.0,,,,,,S313>S096:orientation-tilt@1|S313>S096:vibration-shock@1|S096>S313:vibration-shock@1,prose,0,0.6,0.699,separated,low,yes,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S096+S313,,,"Geophone SM-24 + SW-520D ball tilt switch: SW-520D ball tilt switch measures `tilt`, which is exactly what fools Geophone SM-24 (mounting orientation and tilt), plus 2 further correction channel(s); their time constants differ by 0.7 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (mounting orientation and tilt, vibration and mechanical shock), so agreement between them is NOT independent confirmation. The correction is only as good as the co-location — SW-520D ball tilt switch must sit in the same air/on the same surface as Geophone SM-24 or it is correcting a different place."
474,2,S015|S026,SHT31 weatherproof probe|MQ-2 smoke/LPG gas,14,0.41152,99.421,0.0,,,,,,S026>S015:gas-cross-sensitivity@1|S015>S026:humidity@1|S015>S026:temperature-drift@1,prose,0,0.562,0.301,separated,high,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S015+S026,S015|S199,,"SHT31 weatherproof probe + MQ-2 smoke/LPG gas: MQ-2 smoke/LPG gas measures `gas-concentration`, which is exactly what fools SHT31 weatherproof probe (cross-sensitivity to other gases), plus 2 further correction channel(s); their time constants differ by 0.3 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (cross-sensitivity to other gases, ambient humidity and condensation), so agreement between them is NOT independent confirmation. The correction is only as good as the co-location — MQ-2 smoke/LPG gas must sit in the same air/on the same surface as SHT31 weatherproof probe or it is correcting a different place."
475,2,S117|S125,MLX90614 forehead mode|ML8511 / VEML6075 UV outdoor,31,0.41129,99.419,0.0,,,,,,S125>S117:sunlight-ir@1|S117>S125:sunlight-ir@0.05|S117>S125:temperature-drift@1,prose,0,0.833,2.699,separated,high,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S117+S125,,,"MLX90614 forehead mode + ML8511 / VEML6075 UV outdoor: ML8511 / VEML6075 UV outdoor measures `irradiance`, which is exactly what fools MLX90614 forehead mode (sunlight and ambient infrared), plus 2 further correction channel(s); their time constants differ by 2.7 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (glass and material opacity in the wrong band, sunlight and ambient infrared), so agreement between them is NOT independent confirmation. The correction is only as good as the co-location — ML8511 / VEML6075 UV outdoor must sit in the same air/on the same surface as MLX90614 forehead mode or it is correcting a different place."
476,2,S199|S277,MQ-4 methane / natural gas|SEN55 all-in-one air node,52.5,0.411,99.418,0.0,,,,,incidental,S277>S199:ethanol-voc@1|S277>S199:humidity@1|S277>S199:temperature-drift@1,prose,0,0.525,2.255,separated,low,yes,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S026+S277,,S026+S277|S200+S277|S027+S277|S184+S277|S028+S277|S201+S277,"MQ-4 methane / natural gas + SEN55 all-in-one air node: SEN55 all-in-one air node measures `voc-index`, which is exactly what fools MQ-4 methane / natural gas (ethanol, solvents and general vocs), plus 2 further correction channel(s); they both list `gas-concentration`, but it is incidental for SEN55 all-in-one air node — a register, not the thing the part is for — so it earns no shared-measurand credit; their time constants differ by 2.3 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (ethanol, solvents and general vocs, cross-sensitivity to other gases, ambient humidity and condensation), so agreement between them is NOT independent confirmation. The correction is only as good as the co-location — SEN55 all-in-one air node must sit in the same air/on the same surface as MQ-4 methane / natural gas or it is correcting a different place."
477,2,S004|S145,MAX31855 thermocouple amp|INA226/INA228 precision power,21,0.41088,99.417,3.0,cost-per-use,,,,,S145>S004:mains-hum@1|S004>S145:self-heating@1,prose,0,0.65,5.556,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B014,S004+S144,,S010+S145,"MAX31855 thermocouple amp + INA226/INA228 precision power: INA226/INA228 precision power measures `voltage`, which is exactly what fools MAX31855 thermocouple amp (mains hum, 50/60 hz pickup and supply ripple), plus 1 further correction channel(s); together they reach `cost-per-use`, which no member reaches alone; their time constants differ by 5.6 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (self-heating of the sensor or its own board), so agreement between them is NOT independent confirmation. Per-use appliance cost meter: Overlapping appliances on one metered circuit blur cycle boundaries — meter the socket, or disaggregate first (the NILM edge feeds this one). The correction is only as good as the co-location — INA226/INA228 precision power must sit in the same air/on the same surface as MAX31855 thermocouple amp or it is correcting a different place."
478,2,S002|S038,TMP117 ultra-precise temp|MH-Z19C budget NDIR CO2,29,0.41077,99.414,3.0,window-open-state,,,,,S002>S038:self-heating@1,prose,0,0.812,1.778,separated,high,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S001+S037,,S001+S038|S003+S038|S002+S039|S003+S039|S001+S039,"TMP117 ultra-precise temp + MH-Z19C budget NDIR CO2: TMP117 ultra-precise temp measures `temperature-contact`, which is exactly what fools MH-Z19C budget NDIR CO2 (self-heating of the sensor or its own board); together they reach `window-open-state`, which no member reaches alone; their time constants differ by 1.8 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (self-heating of the sensor or its own board), so agreement between them is NOT independent confirmation. Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — TMP117 ultra-precise temp must sit in the same air/on the same surface as MH-Z19C budget NDIR CO2 or it is correcting a different place."
479,2,S038|S370,MH-Z19C budget NDIR CO2|MAX30208 clinical-accuracy skin temperature,28.0,0.41077,99.414,3.0,window-open-state,,,,,S370>S038:self-heating@1,prose,0,0.812,1.176,separated,high,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S037+S370,,S039+S370,"MH-Z19C budget NDIR CO2 + MAX30208 clinical-accuracy skin temperature: MAX30208 clinical-accuracy skin temperature measures `temperature-contact`, which is exactly what fools MH-Z19C budget NDIR CO2 (self-heating of the sensor or its own board); together they reach `window-open-state`, which no member reaches alone; their time constants differ by 1.2 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (self-heating of the sensor or its own board), so agreement between them is NOT independent confirmation. Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — MAX30208 clinical-accuracy skin temperature must sit in the same air/on the same surface as MH-Z19C budget NDIR CO2 or it is correcting a different place."
480,2,S142|S336,Ultrasonic liquid (through-wall)|RPLIDAR A1 360 degree triangulation LiDAR,124.0,0.41049,99.413,0.0,,,,distance-point,differential,S142>S336:water-immersion@1,prose,0,0.893,0.176,matched,high,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S140+S336,,S140+S336,"Ultrasonic liquid (through-wall) + RPLIDAR A1 360 degree triangulation LiDAR: Ultrasonic liquid (through-wall) measures `liquid-level`, which is exactly what fools RPLIDAR A1 360 degree triangulation LiDAR (water immersion, splash and wetting); both read `distance-point` but through different physics (Ultrasonic echo vs Time-of-flight), so the disagreement between them is itself the measurement; their time constants differ by 0.2 decades, scored as `matched` (matched constants are what make the subtraction valid).","Both members are fooled by the same thing (optical transparency or blackness of the target), so agreement between them is NOT independent confirmation. The correction is only as good as the co-location — Ultrasonic liquid (through-wall) must sit in the same air/on the same surface as RPLIDAR A1 360 degree triangulation LiDAR or it is correcting a different place."
481,2,S013|S197,BME280 climate combo|US-100 ultrasonic w/ temp comp,10,0.41018,99.412,2.75,soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing|compost-active,,temperature-contact,unverified,S013>S197:humidity@1,prose,0,0.764,1.222,separated,high,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S013+S056,,,"BME280 climate combo + US-100 ultrasonic w/ temp comp: BME280 climate combo measures `humidity-relative`, which is exactly what fools US-100 ultrasonic w/ temp comp (ambient humidity and condensation); they share `temperature-contact` but the transduction mechanism is unreadable on at least one side, so it is scored as redundancy, not as a differential pair; `soil-water-volumetric`, `thermal-time-constant`, `wet-bulb-heat-stress` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; their time constants differ by 1.2 decades, scored as `separated` (a slow reference disciplining a fast channel).","Both members are fooled by the same thing (ambient humidity and condensation, wind, rain and outdoor weather exposure), so agreement between them is NOT independent confirmation. Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — BME280 climate combo must sit in the same air/on the same surface as US-100 ultrasonic w/ temp comp or it is correcting a different place."
482,2,S132|S378,DS18B20 soil temp spear|INA700 power monitor with on-die shunt,9.0,0.41017,99.41,4.3,building-heat-loss|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing,,temperature-contact,unverified,S378>S132:supply-voltage@1,prose,0,1.0,,unknown,none,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S132+S378,,,"DS18B20 soil temp spear + INA700 power monitor with on-die shunt: INA700 power monitor with on-die shunt measures `voltage`, which is exactly what fools DS18B20 soil temp spear (supply-voltage sag, rail noise and regulator quality); they share `temperature-contact` but the transduction mechanism is unreadable on at least one side, so it is scored as redundancy, not as a differential pair; `building-heat-loss`, `soil-water-volumetric`, `thermal-time-constant` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; time constants are `unknown` for at least one member, so nothing is claimed about their timing.","Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — INA700 power monitor with on-die shunt must sit in the same air/on the same surface as DS18B20 soil temp spear or it is correcting a different place. And at least one time constant is unknown, so the two channels may not even be comparable in time."
483,2,S132|S381,DS18B20 soil temp spear|BL0940 calibration-free mains metering IC,6.5,0.41017,99.41,4.3,building-heat-loss|soil-water-volumetric|thermal-time-constant|wet-bulb-heat-stress,bearing-failing,,temperature-contact,unverified,S381>S132:supply-voltage@1,prose,0,1.0,,unknown,none,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B014,S132+S381,,,"DS18B20 soil temp spear + BL0940 calibration-free mains metering IC: BL0940 calibration-free mains metering IC measures `voltage`, which is exactly what fools DS18B20 soil temp spear (supply-voltage sag, rail noise and regulator quality); they share `temperature-contact` but the transduction mechanism is unreadable on at least one side, so it is scored as redundancy, not as a differential pair; `building-heat-loss`, `soil-water-volumetric`, `thermal-time-constant` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; time constants are `unknown` for at least one member, so nothing is claimed about their timing.","Wet-bulb heat-stress meter: The wick must stay wet and ventilated; a dry wick silently converges to the dry bulb and the danger signal disappears exactly when it matters. The correction is only as good as the co-location — BL0940 calibration-free mains metering IC must sit in the same air/on the same surface as DS18B20 soil temp spear or it is correcting a different place. And at least one time constant is unknown, so the two channels may not even be comparable in time."
484,2,S161|S197,MLX90640 thermal camera|US-100 ultrasonic w/ temp comp,49,0.40936,99.408,1.75,presence-verified,sky-clear,,,,S197>S161:target-geometry@1|S161>S197:sunlight-ir@1,prose,0,0.9,0.584,separated,low,yes,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S056+S161,S162|S197,,"MLX90640 thermal camera + US-100 ultrasonic w/ temp comp: US-100 ultrasonic w/ temp comp measures `distance-point`, which is exactly what fools MLX90640 thermal camera (target distance, angle, size and field of view), plus 1 further correction channel(s); `presence-verified` also fire, but only because two parts happen to carry the same capability — two copies of one part would do the same, so that is discounted; their time constants differ by 0.6 decades, scored as `separated` (a slow reference disciplining a fast channel).",Sky thermometer cloud detector: Rain on the sensor window reads as total overcast; high thin cirrus reads half-way and fools the threshold. Angle it 10° off zenith with a rain shield. The correction is only as good as the co-location — US-100 ultrasonic w/ temp comp must sit in the same air/on the same surface as MLX90640 thermal camera or it is correcting a different place.
485,2,S010|S038,Thermocouple multiplexer board|MH-Z19C budget NDIR CO2,31,0.40933,99.394,3.0,window-open-state,,,,,S010>S038:self-heating@1,prose,0,1.0,2.273,separated,medium,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S004+S037,,S004+S038|S010+S039|S004+S039,"Thermocouple multiplexer board + MH-Z19C budget NDIR CO2: Thermocouple multiplexer board measures `temperature-contact`, which is exactly what fools MH-Z19C budget NDIR CO2 (self-heating of the sensor or its own board); together they reach `window-open-state`, which no member reaches alone; their time constants differ by 2.3 decades, scored as `separated` (a slow reference disciplining a fast channel).",Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — Thermocouple multiplexer board must sit in the same air/on the same surface as MH-Z19C budget NDIR CO2 or it is correcting a different place.
486,2,S021|S282,MPRLS ported pressure|SenseAir K30 NDIR CO2,110.0,0.40933,99.394,3.0,radon-risk-rising,,,,,S021>S282:barometric-pressure@1,prose,0,1.0,2.602,separated,medium,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S021+S282,,S021+S283,"MPRLS ported pressure + SenseAir K30 NDIR CO2: MPRLS ported pressure measures `pressure-absolute`, which is exactly what fools SenseAir K30 NDIR CO2 (barometric pressure and altitude change); together they reach `radon-risk-rising`, which no member reaches alone; their time constants differ by 2.6 decades, scored as `separated` (a slow reference disciplining a fast channel).","Radon early-warning proxy: It predicts the DRIVERS, not the gas: a sealed slab breaks the correlation. Calibrate the proxy against a real radon meter for one month per building. The correction is only as good as the co-location — MPRLS ported pressure must sit in the same air/on the same surface as SenseAir K30 NDIR CO2 or it is correcting a different place."
487,2,S021|S283,MPRLS ported pressure|Telaire T6713 I2C CO2,95.0,0.40933,99.394,3.0,radon-risk-rising,,,,,S021>S283:barometric-pressure@1,prose,0,1.0,3.0,separated,medium,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S021+S282,S021|S282,,"MPRLS ported pressure + Telaire T6713 I2C CO2: MPRLS ported pressure measures `pressure-absolute`, which is exactly what fools Telaire T6713 I2C CO2 (barometric pressure and altitude change); together they reach `radon-risk-rising`, which no member reaches alone; their time constants differ by 3.0 decades, scored as `separated` (a slow reference disciplining a fast channel).","Radon early-warning proxy: It predicts the DRIVERS, not the gas: a sealed slab breaks the correlation. Calibrate the proxy against a real radon meter for one month per building. The correction is only as good as the co-location — MPRLS ported pressure must sit in the same air/on the same surface as Telaire T6713 I2C CO2 or it is correcting a different place."
488,2,S036|S383,SCD41 true CO2|LEM IT 60-S ULTRASTAB fluxgate current transducer,925.0,0.40933,99.394,3.0,energy-waste-unoccupied,,,,,S036>S383:temperature-drift@1,prose,0,1.0,2.556,separated,medium,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S036+S383,,,"SCD41 true CO2 + LEM IT 60-S ULTRASTAB fluxgate current transducer: SCD41 true CO2 measures `temperature-contact`, which is exactly what fools LEM IT 60-S ULTRASTAB fluxgate current transducer (ambient temperature drift / temperature coefficient); together they reach `energy-waste-unoccupied`, which no member reaches alone; their time constants differ by 2.6 decades, scored as `separated` (a slow reference disciplining a fast channel).",Empty-room energy auditor: Fridges and servers SHOULD run unoccupied: subtract each room's always-on baseline first or the kitchen wins every audit unfairly. The correction is only as good as the co-location — SCD41 true CO2 must sit in the same air/on the same surface as LEM IT 60-S ULTRASTAB fluxgate current transducer or it is correcting a different place.
489,2,S038|S376,MH-Z19C budget NDIR CO2|LC709203F fuel gauge (end of life),26.0,0.40933,99.394,3.0,window-open-state,,,,,S376>S038:self-heating@1,prose,0,1.0,1.778,separated,medium,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S037+S376,,S039+S376,"MH-Z19C budget NDIR CO2 + LC709203F fuel gauge (end of life): LC709203F fuel gauge (end of life) measures `temperature-contact`, which is exactly what fools MH-Z19C budget NDIR CO2 (self-heating of the sensor or its own board); together they reach `window-open-state`, which no member reaches alone; their time constants differ by 1.8 decades, scored as `separated` (a slow reference disciplining a fast channel).",Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — LC709203F fuel gauge (end of life) must sit in the same air/on the same surface as MH-Z19C budget NDIR CO2 or it is correcting a different place.
490,2,S070|S212,RCWL-0516 doppler radar|INA3221 triple-channel power,5.2,0.40933,99.394,3.0,energy-waste-unoccupied,,,,,S212>S070:supply-voltage@1,prose,0,1.0,2.385,separated,medium,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S070+S144,,S070+S144|S070+S145,"RCWL-0516 doppler radar + INA3221 triple-channel power: INA3221 triple-channel power measures `voltage`, which is exactly what fools RCWL-0516 doppler radar (supply-voltage sag, rail noise and regulator quality); together they reach `energy-waste-unoccupied`, which no member reaches alone; their time constants differ by 2.4 decades, scored as `separated` (a slow reference disciplining a fast channel).",Empty-room energy auditor: Fridges and servers SHOULD run unoccupied: subtract each room's always-on baseline first or the kitchen wins every audit unfairly. The correction is only as good as the co-location — INA3221 triple-channel power must sit in the same air/on the same surface as RCWL-0516 doppler radar or it is correcting a different place.
491,2,S092|S375,DFRobot dB meter|MAX17260 ModelGauge m5 fuel gauge,41.0,0.40933,99.394,3.0,recording-authenticity,,,,,S375>S092:mains-hum@1,prose,0,1.0,1.058,separated,medium,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S092+S375,,,"DFRobot dB meter + MAX17260 ModelGauge m5 fuel gauge: MAX17260 ModelGauge m5 fuel gauge measures `voltage`, which is exactly what fools DFRobot dB meter (mains hum, 50/60 hz pickup and supply ripple); together they reach `recording-authenticity`, which no member reaches alone; their time constants differ by 1.1 decades, scored as `separated` (a slow reference disciplining a fast channel).",ENF recording authenticator: Battery-powered outdoor recordings carry no hum; heavy audio compression notches 50 Hz out. Absence of match ≠ forgery — it is absence of evidence. The correction is only as good as the co-location — MAX17260 ModelGauge m5 fuel gauge must sit in the same air/on the same surface as DFRobot dB meter or it is correcting a different place.
492,2,S209|S374,KY-037/038 sound modules|MAX17048 ModelGauge fuel gauge,7.0,0.40933,99.394,3.0,recording-authenticity,,,,,S374>S209:mains-hum@1,prose,0,1.0,2.398,separated,medium,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S209+S374,,,"KY-037/038 sound modules + MAX17048 ModelGauge fuel gauge: MAX17048 ModelGauge fuel gauge measures `voltage`, which is exactly what fools KY-037/038 sound modules (mains hum, 50/60 hz pickup and supply ripple); together they reach `recording-authenticity`, which no member reaches alone; their time constants differ by 2.4 decades, scored as `separated` (a slow reference disciplining a fast channel).",ENF recording authenticator: Battery-powered outdoor recordings carry no hum; heavy audio compression notches 50 Hz out. Absence of match ≠ forgery — it is absence of evidence. The correction is only as good as the co-location — MAX17048 ModelGauge fuel gauge must sit in the same air/on the same surface as KY-037/038 sound modules or it is correcting a different place.
493,2,S209|S376,KY-037/038 sound modules|LC709203F fuel gauge (end of life),9.0,0.40933,99.394,3.0,recording-authenticity,,,,,S376>S209:mains-hum@1,prose,0,1.0,3.0,separated,medium,no,unexplored,single-board,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S209+S376,,,"KY-037/038 sound modules + LC709203F fuel gauge (end of life): LC709203F fuel gauge (end of life) measures `voltage`, which is exactly what fools KY-037/038 sound modules (mains hum, 50/60 hz pickup and supply ripple); together they reach `recording-authenticity`, which no member reaches alone; their time constants differ by 3.0 decades, scored as `separated` (a slow reference disciplining a fast channel).",ENF recording authenticator: Battery-powered outdoor recordings carry no hum; heavy audio compression notches 50 Hz out. Absence of match ≠ forgery — it is absence of evidence. The correction is only as good as the co-location — LC709203F fuel gauge (end of life) must sit in the same air/on the same surface as KY-037/038 sound modules or it is correcting a different place.
494,2,S212|S282,INA3221 triple-channel power|SenseAir K30 NDIR CO2,99.0,0.40933,99.394,3.0,energy-waste-unoccupied,,,,,S212>S282:supply-voltage@1,prose,0,1.0,2.385,separated,medium,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S144+S282,,S145+S282|S144+S282,"INA3221 triple-channel power + SenseAir K30 NDIR CO2: INA3221 triple-channel power measures `voltage`, which is exactly what fools SenseAir K30 NDIR CO2 (supply-voltage sag, rail noise and regulator quality); together they reach `energy-waste-unoccupied`, which no member reaches alone; their time constants differ by 2.4 decades, scored as `separated` (a slow reference disciplining a fast channel).",Empty-room energy auditor: Fridges and servers SHOULD run unoccupied: subtract each room's always-on baseline first or the kitchen wins every audit unfairly. The correction is only as good as the co-location — INA3221 triple-channel power must sit in the same air/on the same surface as SenseAir K30 NDIR CO2 or it is correcting a different place.
495,2,S282|S375,SenseAir K30 NDIR CO2|MAX17260 ModelGauge m5 fuel gauge,99.0,0.40933,99.394,3.0,window-open-state,,,,,S375>S282:supply-voltage@1,prose,0,1.0,1.058,separated,medium,no,unexplored,single-board-with-caveats,B001|B002|B003|B004|B005|B006|B007|B008|B009|B010|B011|B012|B013|B014,S282+S375,,S283+S375,"SenseAir K30 NDIR CO2 + MAX17260 ModelGauge m5 fuel gauge: MAX17260 ModelGauge m5 fuel gauge measures `voltage`, which is exactly what fools SenseAir K30 NDIR CO2 (supply-voltage sag, rail noise and regulator quality); together they reach `window-open-state`, which no member reaches alone; their time constants differ by 1.1 decades, scored as `separated` (a slow reference disciplining a fast channel).",Window-state inferencer: A door to a well-ventilated hallway mimics it; mechanical ventilation kicking in mimics it too. Fingerprint each room's baseline first. The correction is only as good as the co-location — MAX17260 ModelGauge m5 fuel gauge must sit in the same air/on the same surface as SenseAir K30 NDIR CO2 or it is correcting a different place.
