outcome_key,domain,question,n_routes,rarity,first_tier,cheapest,most_capable,no_contact,privacy_safe,all_routes
machine-state,Machine health,"Is it idle, loaded, or jammed?",54,,FOUNDATION,Piezo contact mic / disc ($0.5),Type 4 safety light curtain,KY-037/038 sound modules ($1),KY-037/038 sound modules ($1),Piezo contact mic / disc ($0.5) | KY-037/038 sound modules ($1) | BMP280 budget barometer ($1.5) | MPU-6050 6-axis IMU ($2) | INA219 current/power monitor ($2.5) | INMP441 I2S MEMS mic ($3) | 801S vibration sensor ($3) | ACS712 Hall current ($3) | PDM MEMS microphone ($3.0) | Strain gauge + amp ($4) | INA3221 triple-channel power ($4) | HX711 + load cell ($5) | XGZP6897D low-range diff pressure ($6) | TLV493D 3D magnetic ($6) | Ultrasonic mic experiments ($6) | KX132 low-power accel ($6) | MAX4466 adjustable mic amp ($6) | MLX90393 wide-range 3D mag ($8) | OV2640 camera (ESP32-CAM) ($8) | LDC1612 inductive sensing ($9) | LSM6DSOX ML-core IMU ($10) | SCT-013 CT clamp ($10) | Tire pressure TPMS receivers ($10) | Acoustic emission (ultrasonic contact) ($10) | Scale-hacking: NAU7802 ($12) | AS5048A 14-bit angle ($12) | ICM-45686 premium 6-axis IMU ($12.0) | Thermocouple multiplexer board ($13) | LSM6DSO32 high-range IMU ($13.0) | MAX31855 thermocouple amp ($15) | Draw-wire (string pot) sensor ($15) | Narrowband O2 sensor (HEGO) ($15) | Grove Vision AI v2 ($16) | High-g accel ADXL375 ($18) | ISM330DHCX industrial IMU ($20.0) | L3GD20H gyro-only 3-axis ($20.0) | 4-wire PT100 RTD probe with thermowell ($25.0) | PAA5100JE near-field optical flow ($25.0) | SDP810 differential pressure ($35) | Inclinometer SCL3300 ($35) | LEM LA 55-P closed-loop Hall current transducer ($35.0) | ADXL355 low-noise accel ($38) | MLX90640 thermal camera ($45) | Hydrophone ($45.0) | SCA3300 industrial inclinometer/accelerometer ($50.0) | MLX90641 thermal (16x12) ($60) | MLX90621 16x4 fast thermal array ($60.0) | ADXL1002 wideband analog vibration sensor ($95.0) | 4-20mA loop pressure transmitter ($150.0) | Flexible Rogowski coil with integrator ($150.0) | Rotary torque sensor ($180.0) | FLIR Lepton 3.5 ($240) | 352C33 IEPE piezoelectric accelerometer ($450.0) | Type 4 safety light curtain ($800.0)
cycle-complete,Machine health,Has the cycle finished?,40,,FOUNDATION,A3144 / SS49E Hall switches ($0.4),Type 4 safety light curtain,A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4) | Reed switch ($0.5) | Piezo contact mic / disc ($0.5) | SW-420 vibration switch ($1) | KY-037/038 sound modules ($1) | Through-beam slot / photo-interrupter ($1) | MPU-6050 6-axis IMU ($2) | MQ-3 alcohol sensor ($2.5) | INA219 current/power monitor ($2.5) | Inductive proximity switch M12/M18 ($2.5) | INMP441 I2S MEMS mic ($3) | 801S vibration sensor ($3) | Piezo shock/knock element ($3) | ACS712 Hall current ($3) | Strain gauge + amp ($4) | YF-S201 flow sensor ($5) | TLV493D 3D magnetic ($6) | KX132 low-power accel ($6) | MAX4466 adjustable mic amp ($6) | MAX9814 AGC mic amp ($7) | Nano33-style 1kg beam scale kit ($8) | LDC1612 inductive sensing ($9) | DS18B20 water temp + flow combo ($10) | Turbidity sensor ($12) | AS5048A 14-bit angle ($12) | Thermocouple multiplexer board ($13) | MAX31855 thermocouple amp ($15) | MAX31865 RTD amplifier ($15) | Compost / hay temp lance ($15) | Draw-wire (string pot) sensor ($15) | Grove Vision AI v2 ($16) | SCD41 true CO2 ($25) | FS3000 air velocity ($26) | SDP810 differential pressure ($35) | SCD30 NDIR CO2 ($40) | Thermal flow: SDP + thermistor DIY ($40) | Vibrating-fork level switch ($90.0) | ORP (redox) probe ($110) | Thermal microflow sensor for liquids ($150.0) | Type 4 safety light curtain ($800.0)
overheating,Machine health,Is something running hotter than it should?,33,,FOUNDATION,ESP32 internal sensors (free!) ($0),Heimann HTPA80x64d thermopile array,IR flame detector (flicker) ($2),NTC thermistor 10k ($0.3),ESP32 internal sensors (free!) ($0) | NTC thermistor 10k ($0.3) | TMP36 analog temp ($1.5) | BL0940 calibration-free mains metering IC ($1.5) | IR flame detector (flicker) ($2) | DS18B20 digital temp probe ($2.5) | MCP9808 precision temp ($5) | AMC1311 reinforced isolated voltage-sense amplifier ($5.0) | OBD-II port as a sensor bus ($6.0) | MLX90614 IR thermometer ($8) | MAX30205 clinical body temp ($9) | Tire pressure TPMS receivers ($10) | TMP117 ultra-precise temp ($11) | Thermocouple multiplexer board ($13) | MLX90632 miniature IR temp ($14) | MAX31855 thermocouple amp ($15) | MAX31865 RTD amplifier ($15) | Compost / hay temp lance ($15) | Narrowband O2 sensor (HEGO) ($15) | MLX90614 forehead mode ($25) | 4-wire PT100 RTD probe with thermowell ($25.0) | FS3000 air velocity ($26) | Grid-EYE AMG8833 thermal array ($35) | MLX90640 thermal camera ($45) | MLX90641 thermal (16x12) ($60) | MLX90621 16x4 fast thermal array ($60.0) | SenXor MI0801 CMOS thermal imager ($95.0) | Heimann HTPA32x32d thermopile array ($140.0) | FLIR Lepton 3.1R radiometric thermal module ($180.0) | Omron D6T-32L 1024-pixel thermopile array ($200.0) | FLIR Lepton 3.5 ($240) | InfiRay P2 Pro USB-C thermal camera ($270.0) | Heimann HTPA80x64d thermopile array ($350.0)
machine-duty-cycle,Machine health,How much is this machine actually used?,21,,FOUNDATION,Piezo contact mic / disc ($0.5),Electromagnetic (mag) flowmeter,ACS712 Hall current ($3),SW-420 vibration switch ($1),Piezo contact mic / disc ($0.5) | SW-420 vibration switch ($1) | BL0940 calibration-free mains metering IC ($1.5) | MPU-6050 6-axis IMU ($2) | INA219 current/power monitor ($2.5) | ADXL345 accelerometer ($3) | LIS3DH budget accel ($3) | 801S vibration sensor ($3) | ACS712 Hall current ($3) | OBD-II port as a sensor bus ($6.0) | LSM6DSOX ML-core IMU ($10) | PZEM-004T AC power module ($11) | 600/1024PPR optical encoder ($12) | Thermocouple multiplexer board ($13) | MAX31855 thermocouple amp ($15) | Weight-in-motion: piezo cable ($15) | ISM330DHCX industrial IMU ($20.0) | SDP810 differential pressure ($35) | DFRobot dB meter ($37) | Transit-time ultrasonic flow (clamp-on) ($85) | Electromagnetic (mag) flowmeter ($300.0)
bearing-failing,Machine health,Is a bearing starting to fail?,20,,FOUNDATION,Piezo contact mic / disc ($0.5),352C33 IEPE piezoelectric accelerometer,INMP441 I2S MEMS mic ($3),ADXL345 accelerometer ($3),Piezo contact mic / disc ($0.5) | ADXL345 accelerometer ($3) | INMP441 I2S MEMS mic ($3) | 801S vibration sensor ($3) | ACS712 Hall current ($3) | ICS-43434 I2S mic ($5) | Ultrasonic mic experiments ($6) | KX132 low-power accel ($6) | MAX4466 adjustable mic amp ($6) | MLX90614 IR thermometer ($8) | LSM6DSOX ML-core IMU ($10) | Acoustic emission (ultrasonic contact) ($10) | DFRobot dB meter ($37) | ADXL355 low-noise accel ($38) | MLX90640 thermal camera ($45) | IIS3DWB wideband vibration sensor ($45.0) | ADXL1002 wideband analog vibration sensor ($95.0) | ADXL1005 ultra-wideband analog accelerometer ($110.0) | FLIR Lepton 3.5 ($240) | 352C33 IEPE piezoelectric accelerometer ($450.0)
abnormal-current,Machine health,Is it drawing an abnormal amount of power?,18,,FOUNDATION,A3144 / SS49E Hall switches ($0.4),LEM IT 60-S ULTRASTAB fluxgate current transducer,A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4) | RV4145A ground-fault / residual current detector ($2.0) | INA219 current/power monitor ($2.5) | ACS712 Hall current ($3) | MAX471 / shunt + ADS1115 ($3) | INA3221 triple-channel power ($4) | INA700 power monitor with on-die shunt ($4.0) | ATM90E32AS polyphase energy metering AFE ($4.0) | INA226/INA228 precision power ($6) | OBD-II port as a sensor bus ($6.0) | MLX90393 wide-range 3D mag ($8) | SCT-013 CT clamp ($10) | Narrowband O2 sensor (HEGO) ($15) | LEM LA 55-P closed-loop Hall current transducer ($35.0) | Eastron SDM120-Modbus DIN energy meter ($38.0) | Flexible Rogowski coil with integrator ($150.0) | Rotary torque sensor ($180.0) | LEM IT 60-S ULTRASTAB fluxgate current transducer ($900.0)
rotation-speed,Machine health,How fast is it turning?,17,,FOUNDATION,A3144 / SS49E Hall switches ($0.4),LDC1612 inductive sensing,A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4),A3144 / SS49E Hall switches ($0.4) | Reed switch ($0.5) | KY-040 rotary encoder ($1) | Through-beam slot / photo-interrupter ($1) | QMC5883L compass ($2) | Inductive proximity switch M12/M18 ($2.5) | AS5600 magnetic angle ($3) | MMC5603 precision magnetometer ($6) | TLV493D 3D magnetic ($6) | KX132 low-power accel ($6) | OBD-II port as a sensor bus ($6.0) | MLX90393 wide-range 3D mag ($8) | LDC1612 inductive sensing ($9) | ICM-42688-P low-noise IMU ($10.0) | 600/1024PPR optical encoder ($12) | AS5048A 14-bit angle ($12) | L3GD20H gyro-only 3-axis ($20.0)
imbalance,Machine health,Is it out of balance or misaligned?,16,,FOUNDATION,MPU-6050 6-axis IMU ($2),352C33 IEPE piezoelectric accelerometer,— none,MPU-6050 6-axis IMU ($2),MPU-6050 6-axis IMU ($2) | ADXL345 accelerometer ($3) | 801S vibration sensor ($3) | Strain gauge + amp ($4) | KX132 low-power accel ($6) | LSM6DSOX ML-core IMU ($10) | Acoustic emission (ultrasonic contact) ($10) | ICM-42688-P low-noise IMU ($10.0) | High-g accel ADXL375 ($18) | ISM330DHCX industrial IMU ($20.0) | L3GD20H gyro-only 3-axis ($20.0) | ADXL355 low-noise accel ($38) | IIS3DWB wideband vibration sensor ($45.0) | ADXL1002 wideband analog vibration sensor ($95.0) | ADXL1005 ultra-wideband analog accelerometer ($110.0) | 352C33 IEPE piezoelectric accelerometer ($450.0)
air-leak,Machine health,"Is compressed air leaking, and where?",16,,FOUNDATION,Piezo contact mic / disc ($0.5),Alphasense PID-AH2 photoionisation VOC,INMP441 I2S MEMS mic ($3),40kHz ultrasonic transducer pair ($3),Piezo contact mic / disc ($0.5) | INMP441 I2S MEMS mic ($3) | 40kHz ultrasonic transducer pair ($3.0) | ICS-43434 I2S mic ($5) | XGZP6897D low-range diff pressure ($6) | Ultrasonic mic experiments ($6) | Acoustic emission (ultrasonic contact) ($10) | FS3000 air velocity ($26) | Winsen ZE25-O3 ozone module ($30.0) | SDP810 differential pressure ($35) | Figaro TGS6812 catalytic pellistor ($35.0) | Thermal flow: SDP + thermistor DIY ($40) | MPS flammable gas and refrigerant sensor ($85.0) | ADXL1005 ultra-wideband analog accelerometer ($110.0) | INIR NDIR methane module ($130.0) | Alphasense PID-AH2 photoionisation VOC ($320.0)
filter-clogged,Machine health,Is the filter blocked?,14,,BROAD,XGZP6897D low-range diff pressure ($6),InfiRay P2 Pro USB-C thermal camera,XGZP6897D low-range diff pressure ($6),XGZP6897D low-range diff pressure ($6),XGZP6897D low-range diff pressure ($6) | DS18B20 water temp + flow combo ($10) | EC / TDS sensor ($12) | Turbidity sensor ($12) | Paddle flow switch ($12.0) | PMS5003 particulate ($15) | PMS7003 laser particle counter ($20.0) | FS3000 air velocity ($26) | SDP810 differential pressure ($35) | Thermal flow: SDP + thermistor DIY ($40) | Honeywell HPM particulate sensor ($40.0) | SPS30 premium PM ($45) | 4-20mA loop pressure transmitter ($150.0) | InfiRay P2 Pro USB-C thermal camera ($270.0)
arc-or-discharge,Machine health,Is there electrical arcing or partial discharge?,7,,CORE,RV4145A ground-fault / residual current detector ($2),Flexible Rogowski coil with integrator,40kHz ultrasonic transducer pair ($3),RV4145A ground-fault / residual current detector ($2),RV4145A ground-fault / residual current detector ($2.0) | 40kHz ultrasonic transducer pair ($3.0) | Ultrasonic mic experiments ($6) | Acoustic emission (ultrasonic contact) ($10) | EMF / RF field probes ($12) | ADXL1005 ultra-wideband analog accelerometer ($110.0) | Flexible Rogowski coil with integrator ($150.0)
lubrication-failing,Machine health,Is lubrication breaking down?,7,,CORE,Ultrasonic mic experiments ($6),352C33 IEPE piezoelectric accelerometer,Ultrasonic mic experiments ($6),Acoustic emission (ultrasonic contact) ($10),Ultrasonic mic experiments ($6) | Acoustic emission (ultrasonic contact) ($10) | Oil/quality dielectric probe ($12) | IIS3DWB wideband vibration sensor ($45.0) | ADXL1002 wideband analog vibration sensor ($95.0) | Rotary torque sensor ($180.0) | 352C33 IEPE piezoelectric accelerometer ($450.0)
belt-slipping,Machine health,Is the belt or coupling slipping?,1,SOLE ROUTE,COMPLETE,IIS3DWB wideband vibration sensor ($45),IIS3DWB wideband vibration sensor,— none,IIS3DWB wideband vibration sensor ($45),IIS3DWB wideband vibration sensor ($45.0)
contamination,Materials & chemistry,Has this been contaminated?,28,,BROAD,Color-changing material readers ($10),Alphasense OPC-N3 optical particle counter,Color-changing material readers ($10),Color-changing material readers ($10),Color-changing material readers ($10) | EC / TDS sensor ($12) | Turbidity sensor ($12) | Oil/quality dielectric probe ($12) | ZE08-CH2O formaldehyde ($22) | Geiger counter kit ($25) | Analog pH kit ($30) | Winsen ZE25-O3 ozone module ($30.0) | Time-of-flight spectroscopy: AS7263 trick ($35) | RS-485 soil NPK/EC probe ($40) | Winsen ZE03-NH3 ammonia module ($40.0) | Scent delivery + e-nose loop ($60) | AS7265x 18-channel spectral triad ($69.95) | High-range EC probe for salinity (K=10) ($70.0) | Electrochemical gas cells ($80) | MPS flammable gas and refrigerant sensor ($85.0) | Soil/water nitrate ion-selective ($90) | ORP (redox) probe ($110) | Alphasense NO2-B43F electrochemical cell ($120.0) | Alphasense CL2-A1 chlorine cell ($130.0) | Scintillating gamma spectrometer ($150) | Dissolved oxygen kit (Atlas EZO-DO) ($170) | Ammonium ion-selective electrode ($189.0) | Alphasense PID-AH2 photoionisation VOC ($320.0) | Fluoride ion-selective electrode (LaF3 crystal) ($320.0) | Hamamatsu C12880MA micro-spectrometer ($330.0) | Free-chlorine amperometric membrane probe ($390.0) | Alphasense OPC-N3 optical particle counter ($500.0)
material-type,Materials & chemistry,What material is this?,12,,BROAD,Capacitive proximity switch M18 ($7),Hamamatsu C12880MA micro-spectrometer,Capacitive proximity switch M18 ($7),Capacitive proximity switch M18 ($7),Capacitive proximity switch M18 ($7.0) | Capacitive liquid/force FDC1004 ($9) | LDC1612 inductive sensing ($9) | AS7341 11-channel spectral ($14) | FDC2214 capacitive proximity front-end ($15.0) | Grove Vision AI v2 ($16) | AS7343 14-channel spectral sensor ($19.95) | AS7263 NIR spectral ($27) | Time-of-flight spectroscopy: AS7263 trick ($35) | AS7265x 18-channel spectral triad ($69.95) | Scintillating gamma spectrometer ($150) | Hamamatsu C12880MA micro-spectrometer ($330.0)
colour-match,Materials & chemistry,Does this colour match the reference?,12,,CORE,TCS3200 frequency-output colour sensor ($4),Hamamatsu C12880MA micro-spectrometer,TCS3200 frequency-output colour sensor ($4),TCS3200 frequency-output colour sensor ($4),TCS3200 frequency-output colour sensor ($4.0) | APDS-9960 gesture/color/prox ($6) | TCS34725 RGB color ($7) | OPT4048 tristimulus color ($9) | Color-changing material readers ($10) | AS7341 11-channel spectral ($14) | OV5640 5MP autofocus cam ($15) | AS7343 14-channel spectral sensor ($19.95) | Time-of-flight spectroscopy: AS7263 trick ($35) | HuskyLens AI camera ($45) | AS7265x 18-channel spectral triad ($69.95) | Hamamatsu C12880MA micro-spectrometer ($330.0)
concentration-liquid,Materials & chemistry,How concentrated is this solution?,12,,BROAD,TCS34725 RGB color ($7),Free-chlorine amperometric membrane probe,TCS34725 RGB color ($7),TCS34725 RGB color ($7),TCS34725 RGB color ($7) | EC / TDS sensor ($12) | AS7341 11-channel spectral ($14) | Analog pH kit ($30) | Time-of-flight spectroscopy: AS7263 trick ($35) | High-range EC probe for salinity (K=10) ($70.0) | Soil/water nitrate ion-selective ($90) | ORP (redox) probe ($110) | Ammonium ion-selective electrode ($189.0) | Fluoride ion-selective electrode (LaF3 crystal) ($320.0) | Hamamatsu C12880MA micro-spectrometer ($330.0) | Free-chlorine amperometric membrane probe ($390.0)
coating-cured,Materials & chemistry,"Has the paint, resin or glue finished curing?",12,,FOUNDATION,AHT20 temp/humidity ($2),ZE08-CH2O formaldehyde,AHT20 temp/humidity ($2),AHT20 temp/humidity ($2),AHT20 temp/humidity ($2) | GUVA-S12SD UV analog ($4) | Si7021 humidity/temp ($4) | AGS02MA TVOC budget ($4) | SHT41 humidity + temp ($6) | ML8511 / VEML6075 UV outdoor ($6) | ENS160 air quality ($9) | SGP30 eCO2/TVOC (legacy) ($10) | Thermocouple multiplexer board ($13) | MAX31855 thermocouple amp ($15) | MAX31865 RTD amplifier ($15) | ZE08-CH2O formaldehyde ($22)
moisture-content,Materials & chemistry,How wet is this material?,11,,CORE,Capacitive soil moisture v2 ($2),True TDR soil water content probe,Capacitive liquid/force FDC1004 ($9),Capacitive soil moisture v2 ($2),"Capacitive soil moisture v2 ($2) | Capacitive liquid/force FDC1004 ($9) | Chirp! plant sensor ($10) | Oil/quality dielectric probe ($12) | FDC2214 capacitive proximity front-end ($15.0) | AS7263 NIR spectral ($27) | Time-of-flight spectroscopy: AS7263 trick ($35) | RS-485 soil NPK/EC probe ($40) | Watermark granular-matrix soil water sensor ($45) | METER TEROS 12 soil moisture, EC and temperature ($220.0) | True TDR soil water content probe ($395.0)"
food-fresh,Materials & chemistry,Is this food still good?,11,,FOUNDATION,DS18B20 digital temp probe ($2.5),Scent delivery + e-nose loop,MQ-3 alcohol sensor ($2.5),DS18B20 digital temp probe ($2.5),DS18B20 digital temp probe ($2.5) | MQ-3 alcohol sensor ($2.5) | MCP9808 precision temp ($5) | Color-changing material readers ($10) | TMP117 ultra-precise temp ($11) | Thermocouple multiplexer board ($13) | BME690 gas + climate ($22.0) | AS7263 NIR spectral ($27) | Analog pH kit ($30) | Time-of-flight spectroscopy: AS7263 trick ($35) | Scent delivery + e-nose loop ($60)
how-fast-moving,Navigation & space,How fast am I moving?,24,,CORE,MS5611 high-res altimeter ($6),ADIS16505-2 tactical-grade IMU,MS5611 high-res altimeter ($6),MS5611 high-res altimeter ($6),MS5611 high-res altimeter ($6) | LPS22HB pressure sensor ($6) | OBD-II port as a sensor bus ($6.0) | NEO-6M GPS ($8) | BMI270 wearable IMU ($8) | MPU-9250 9-axis (legacy) ($8) | ICM-42688-P low-noise IMU ($10.0) | LD2450 multi-target tracking radar ($12) | ICM-45686 premium 6-axis IMU ($12.0) | LSM6DSO32 high-range IMU ($13.0) | ICM-20948 9-axis IMU ($15) | u-blox M10 GNSS ($20) | BN-880 GNSS module with on-board compass ($20.0) | TF-Luna LiDAR ($25) | BNO055 fusion IMU ($25) | PMW3901 optical flow ($25.0) | PAA5100JE near-field optical flow ($25.0) | SAM-M10Q GNSS with integrated patch antenna ($40.0) | LC29H(DA) low-cost L1+L5 RTK rover ($55.0) | Time-of-flight gesture radar 60GHz ($110) | UM982 dual-antenna RTK with true heading ($260.0) | ZED-F9R dead-reckoning GNSS ($280.0) | TI AWR1642 77GHz automotive radar EVM ($299.0) | ADIS16505-2 tactical-grade IMU ($825.0)
structure-moved,Navigation & space,Has this structure shifted or tilted since last time?,24,,FOUNDATION,MPU-6050 6-axis IMU ($2),ADIS16505-2 tactical-grade IMU,LDC1612 inductive sensing ($9),MPU-6050 6-axis IMU ($2),MPU-6050 6-axis IMU ($2) | Strain gauge + amp ($4) | KX132 low-power accel ($6) | MPU-9250 9-axis (legacy) ($8) | LDC1612 inductive sensing ($9) | BMP390 precision barometer ($10) | Ground vibration fence: fiber + photodiode ($10) | ICM-20948 9-axis IMU ($15) | Draw-wire (string pot) sensor ($15) | BNO086 high-perf fusion IMU ($22) | BNO055 fusion IMU ($25) | PMW3901 optical flow ($25.0) | Geophone SM-24 ($30) | Inclinometer SCL3300 ($35) | ADXL355 low-noise accel ($38) | SCA3300 industrial inclinometer/accelerometer ($50.0) | LC29H(DA) low-cost L1+L5 RTK rover ($55.0) | Bend Labs digital flex (1-axis) ($70) | ZED-X20P all-band centimetre GNSS ($90.0) | UM980 triple-band RTK receiver ($200.0) | ZED-F9P RTK centimetre GNSS ($260) | UM982 dual-antenna RTK with true heading ($260.0) | Livox Mid-360 3D LiDAR ($749.0) | ADIS16505-2 tactical-grade IMU ($825.0)
obstacle-ahead,Navigation & space,Is there something in the way?,22,,CORE,HC-SR04 ultrasonic ($1.5),Livox Mid-360 3D LiDAR,HC-SR04 ultrasonic ($1.5),HC-SR04 ultrasonic ($1.5),HC-SR04 ultrasonic ($1.5) | 40kHz ultrasonic transducer pair ($3.0) | US-100 ultrasonic w/ temp comp ($4) | VL53L0X ToF laser ($5) | Sharp GP2Y0A21 IR distance ($8) | VL6180X short-range ToF ($8) | Bat/dolphin: 40kHz ranging array ($8) | VL53L1X long-range ToF ($12) | VL53L4CD short-range precision ToF ($12.0) | VL53L4CX multi-target ToF ($15.0) | MEMS ultrasonic ToF (Chirp) ($15.0) | VL53L5CX 8x8 ToF array ($20) | TF-Luna LiDAR ($25) | VL53L8CX 8x8 depth zone array ($25.0) | RPLIDAR / LD19 scanning LiDAR ($40) | HuskyLens AI camera ($45) | Snow/level laser (outdoor ToF) ($70) | RPLIDAR A1 360 degree triangulation LiDAR ($99.0) | Time-of-flight gesture radar 60GHz ($110) | Benewake TF03 long-range industrial LiDAR ($180.0) | TI AWR1642 77GHz automotive radar EVM ($299.0) | Livox Mid-360 3D LiDAR ($749.0)
which-way-facing,Navigation & space,Which way am I pointing?,21,,FOUNDATION,QMC5883L compass ($2),ADIS16505-2 tactical-grade IMU,QMC5883L compass ($2),QMC5883L compass ($2),QMC5883L compass ($2) | AS5600 magnetic angle ($3) | MMC5603 precision magnetometer ($6) | BMM350 TMR magnetometer ($7.0) | MLX90393 wide-range 3D mag ($8) | MPU-9250 9-axis (legacy) ($8) | ICM-42688-P low-noise IMU ($10.0) | Wind vane ($12) | AS5048A 14-bit angle ($12) | ICM-45686 premium 6-axis IMU ($12.0) | LSM6DSO32 high-range IMU ($13.0) | ICM-20948 9-axis IMU ($15) | BN-880 GNSS module with on-board compass ($20.0) | LSM6DSV16X IMU with on-chip fusion ($20.0) | L3GD20H gyro-only 3-axis ($20.0) | BNO086 high-perf fusion IMU ($22) | BNO055 fusion IMU ($25) | ZED-F9P RTK centimetre GNSS ($260) | UM982 dual-antenna RTK with true heading ($260.0) | ZED-F9R dead-reckoning GNSS ($280.0) | ADIS16505-2 tactical-grade IMU ($825.0)
returned-to-spot,Navigation & space,Am I back at the exact same place?,20,,FOUNDATION,BMP280 budget barometer ($1.5),ADIS16505-2 tactical-grade IMU,BMP280 budget barometer ($1.5),BMP280 budget barometer ($1.5),BMP280 budget barometer ($1.5) | Wi-Fi and magnetic fingerprint positioning ($5.0) | MMC5603 precision magnetometer ($6) | MPU-9250 9-axis (legacy) ($8) | AS5048A 14-bit angle ($12) | ICM-20948 9-axis IMU ($15) | Draw-wire (string pot) sensor ($15) | BNO086 high-perf fusion IMU ($22) | BNO055 fusion IMU ($25) | PMW3901 optical flow ($25.0) | PAA5100JE near-field optical flow ($25.0) | Inclinometer SCL3300 ($35) | RPLIDAR / LD19 scanning LiDAR ($40) | DW1000 UWB two-way ranging radio ($40.0) | DW3000 UWB ranging radio (FiRa generation) ($48.0) | LC29H(DA) low-cost L1+L5 RTK rover ($55.0) | ZED-X20P all-band centimetre GNSS ($90.0) | UM980 triple-band RTK receiver ($200.0) | ZED-F9P RTK centimetre GNSS ($260) | ADIS16505-2 tactical-grade IMU ($825.0)
how-far-travelled,Navigation & space,How far have I gone?,18,,CORE,Linear potentiometer / softpot ($6),ADIS16505-2 tactical-grade IMU,NEO-6M GPS ($8),Linear potentiometer / softpot ($6),Linear potentiometer / softpot ($6) | NEO-6M GPS ($8) | 600/1024PPR optical encoder ($12) | AS5048A 14-bit angle ($12) | Draw-wire (string pot) sensor ($15) | u-blox M10 GNSS ($20) | BN-880 GNSS module with on-board compass ($20.0) | BNO086 high-perf fusion IMU ($22) | DWM1001C UWB module with ready-made RTLS firmware ($22.0) | PMW3901 optical flow ($25.0) | PAA5100JE near-field optical flow ($25.0) | DW1000 UWB two-way ranging radio ($40.0) | SAM-M10Q GNSS with integrated patch antenna ($40.0) | ZED-X20P all-band centimetre GNSS ($90.0) | UM980 triple-band RTK receiver ($200.0) | ZED-F9P RTK centimetre GNSS ($260) | ZED-F9R dead-reckoning GNSS ($280.0) | ADIS16505-2 tactical-grade IMU ($825.0)
am-i-level,Navigation & space,"Is this level, and by how much is it off?",18,,FOUNDATION,SW-520D ball tilt switch ($0.5),UM982 dual-antenna RTK with true heading,AS5600 magnetic angle ($3),SW-520D ball tilt switch ($0.5),SW-520D ball tilt switch ($0.5) | MPU-6050 6-axis IMU ($2) | ADXL345 accelerometer ($3) | LIS3DH budget accel ($3) | AS5600 magnetic angle ($3) | KX132 low-power accel ($6) | BMI270 wearable IMU ($8) | MPU-9250 9-axis (legacy) ($8) | LSM6DSOX ML-core IMU ($10) | ICM-20948 9-axis IMU ($15) | BNO086 high-perf fusion IMU ($22) | BNO055 fusion IMU ($25) | Inclinometer SCL3300 ($35) | ADXL355 low-noise accel ($38) | SCA3300 industrial inclinometer/accelerometer ($50.0) | ZED-X20P all-band centimetre GNSS ($90.0) | UM980 triple-band RTK receiver ($200.0) | UM982 dual-antenna RTK with true heading ($260.0)
where-am-i,Navigation & space,Where am I on Earth?,12,,CORE,NEO-6M GPS ($8),ZED-F9R dead-reckoning GNSS,NEO-6M GPS ($8),GPS PPS time source ($10),NEO-6M GPS ($8) | GPS PPS time source ($10) | u-blox M10 GNSS ($20) | BN-880 GNSS module with on-board compass ($20.0) | SAM-M10Q GNSS with integrated patch antenna ($40.0) | LC29H(DA) low-cost L1+L5 RTK rover ($55.0) | ZED-X20P all-band centimetre GNSS ($90.0) | NEO-F10T dual-band GNSS timing receiver ($120.0) | UM980 triple-band RTK receiver ($200.0) | ZED-F9P RTK centimetre GNSS ($260) | UM982 dual-antenna RTK with true heading ($260.0) | ZED-F9R dead-reckoning GNSS ($280.0)
how-high,Navigation & space,What altitude or floor am I on?,12,,FOUNDATION,BMP280 budget barometer ($1.5),Benewake TF03 long-range industrial LiDAR,BMP280 budget barometer ($1.5),BMP280 budget barometer ($1.5),BMP280 budget barometer ($1.5) | Wi-Fi and magnetic fingerprint positioning ($5.0) | BME280 climate combo ($6) | MS5611 high-res altimeter ($6) | LPS22HB pressure sensor ($6) | DPS310 barometer ($7) | BMP390 precision barometer ($10) | TF-Luna LiDAR ($25) | SAM-M10Q GNSS with integrated patch antenna ($40.0) | Muon detector (CosmicWatch) ($100) | NEO-F10T dual-band GNSS timing receiver ($120.0) | Benewake TF03 long-range industrial LiDAR ($180.0)
map-surroundings,Navigation & space,What is the shape of the space around me?,6,,COMPLETE,Bat/dolphin: 40kHz ranging array ($8),Livox Mid-360 3D LiDAR,Bat/dolphin: 40kHz ranging array ($8),Bat/dolphin: 40kHz ranging array ($8),Bat/dolphin: 40kHz ranging array ($8) | RPLIDAR / LD19 scanning LiDAR ($40) | RPLIDAR A1 360 degree triangulation LiDAR ($99.0) | Time-of-flight gesture radar 60GHz ($110) | TI AWR1642 77GHz automotive radar EVM ($299.0) | Livox Mid-360 3D LiDAR ($749.0)
